paper,figure,panel,experiment,sample,condition,method,metric,value,unit,extraction,source_path,note,approximate,uncertainty
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,c/g/k,letter samples through dynamic turbid water,nd,dynamic complex scattering,SCGI-UNN,CNR,11.27,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,d/h/l,letter samples through dynamic turbid water,0,dynamic complex scattering,SCGI-URED,CNR,34.91,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,d/h/l,letter samples through dynamic turbid water,Eq,dynamic complex scattering,SCGI-URED,CNR,38.28,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,d/h/l,letter samples through dynamic turbid water,nd,dynamic complex scattering,SCGI-URED,CNR,35.76,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,m,"six 64x64 images, fixed reference pattern",image_1,attenuation_beta=0.0122 mm^-1,fixed_reference,PSNR,37.6,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,n,"six 64x64 images, fixed reference pattern",image_2,attenuation_beta=0.0112 mm^-1,fixed_reference,PSNR,35.32,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,o,"six 64x64 images, fixed reference pattern",image_3,attenuation_beta=0.0128 mm^-1,fixed_reference,PSNR,38.02,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,p,"six 64x64 images, fixed reference pattern",image_4,attenuation_beta=0.00892 mm^-1,fixed_reference,PSNR,37.91,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,q,"six 64x64 images, fixed reference pattern",image_5,attenuation_beta=0.0102 mm^-1,fixed_reference,PSNR,37.68,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,r,"six 64x64 images, fixed reference pattern",image_6,attenuation_beta=0.00975 mm^-1,fixed_reference,PSNR,36.86,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,m,"six 64x64 images, fixed reference pattern",image_1,attenuation_beta=0.0122 mm^-1,fixed_reference,SSIM,0.9854,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,n,"six 64x64 images, fixed reference pattern",image_2,attenuation_beta=0.0112 mm^-1,fixed_reference,SSIM,0.9938,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,o,"six 64x64 images, fixed reference pattern",image_3,attenuation_beta=0.0128 mm^-1,fixed_reference,SSIM,0.9942,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,p,"six 64x64 images, fixed reference pattern",image_4,attenuation_beta=0.00892 mm^-1,fixed_reference,SSIM,0.9911,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,q,"six 64x64 images, fixed reference pattern",image_5,attenuation_beta=0.0102 mm^-1,fixed_reference,SSIM,0.9952,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,r,"six 64x64 images, fixed reference pattern",image_6,attenuation_beta=0.00975 mm^-1,fixed_reference,SSIM,0.9838,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,g,"six 64x64 images, no reference pattern",image_1,attenuation_beta=0.0122 mm^-1,without_reference,PSNR,12.5,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,h,"six 64x64 images, no reference pattern",image_2,attenuation_beta=0.0112 mm^-1,without_reference,PSNR,12.62,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,i,"six 64x64 images, no reference pattern",image_3,attenuation_beta=0.0128 mm^-1,without_reference,PSNR,14.92,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,j,"six 64x64 images, no reference pattern",image_4,attenuation_beta=0.00892 mm^-1,without_reference,PSNR,14.0,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,k,"six 64x64 images, no reference pattern",image_5,attenuation_beta=0.0102 mm^-1,without_reference,PSNR,19.23,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,l,"six 64x64 images, no reference pattern",image_6,attenuation_beta=0.00975 mm^-1,without_reference,PSNR,15.04,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,g,"six 64x64 images, no reference pattern",image_1,attenuation_beta=0.0122 mm^-1,without_reference,SSIM,0.8449,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,h,"six 64x64 images, no reference pattern",image_2,attenuation_beta=0.0112 mm^-1,without_reference,SSIM,0.793,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,i,"six 64x64 images, no reference pattern",image_3,attenuation_beta=0.0128 mm^-1,without_reference,SSIM,0.8885,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,j,"six 64x64 images, no reference pattern",image_4,attenuation_beta=0.00892 mm^-1,without_reference,SSIM,0.8247,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,k,"six 64x64 images, no reference pattern",image_5,attenuation_beta=0.0102 mm^-1,without_reference,SSIM,0.9476,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,l,"six 64x64 images, no reference pattern",image_6,attenuation_beta=0.00975 mm^-1,without_reference,SSIM,0.8808,a.u.,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-07.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,a,"30th row profile, no reference pattern",image_1,row profile from Fig. 3(a-f),without_reference,PSNR,14.18,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,b,"30th row profile, no reference pattern",image_2,row profile from Fig. 3(a-f),without_reference,PSNR,14.5,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,c,"30th row profile, no reference pattern",image_3,row profile from Fig. 3(a-f),without_reference,PSNR,17.9,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,d,"30th row profile, no reference pattern",image_4,row profile from Fig. 3(a-f),without_reference,PSNR,14.16,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,e,"30th row profile, no reference pattern",image_5,row profile from Fig. 3(a-f),without_reference,PSNR,18.0,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 4,f,"30th row profile, no reference pattern",image_6,row profile from Fig. 3(a-f),without_reference,PSNR,16.38,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-08.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,a,"30th row profile, fixed reference pattern",image_1,row profile from Fig. 3(a-f),fixed_reference,PSNR,38.04,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,b,"30th row profile, fixed reference pattern",image_2,row profile from Fig. 3(a-f),fixed_reference,PSNR,35.88,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,c,"30th row profile, fixed reference pattern",image_3,row profile from Fig. 3(a-f),fixed_reference,PSNR,37.83,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,d,"30th row profile, fixed reference pattern",image_4,row profile from Fig. 3(a-f),fixed_reference,PSNR,39.68,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,e,"30th row profile, fixed reference pattern",image_5,row profile from Fig. 3(a-f),fixed_reference,PSNR,39.18,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 5,f,"30th row profile, fixed reference pattern",image_6,row profile from Fig. 3(a-f),fixed_reference,PSNR,40.29,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=0.892 mm^-1,fixed_reference,PSNR,37.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.22 mm^-1,fixed_reference,PSNR,37.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.4 mm^-1,fixed_reference,PSNR,35.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.76 mm^-1,fixed_reference,PSNR,32.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.91 mm^-1,fixed_reference,PSNR,29.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.29 mm^-1,fixed_reference,PSNR,28.4,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.39 mm^-1,fixed_reference,PSNR,26.3,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=3.47 mm^-1,fixed_reference,PSNR,23.3,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=0.892 mm^-1,fixed_reference,SSIM,0.984,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.22 mm^-1,fixed_reference,SSIM,0.984,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.4 mm^-1,fixed_reference,SSIM,0.985,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.76 mm^-1,fixed_reference,SSIM,0.98,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.91 mm^-1,fixed_reference,SSIM,0.983,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.29 mm^-1,fixed_reference,SSIM,0.982,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.39 mm^-1,fixed_reference,SSIM,0.97,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,b,"attenuation sweep, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=3.47 mm^-1,fixed_reference,SSIM,0.975,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; PSNR crosses below 30 dB near beta=1.91e-2 mm^-1.,True,0.002
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=0.892 mm^-1,without_reference,PSNR,16.2,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.22 mm^-1,without_reference,PSNR,12.5,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.4 mm^-1,without_reference,PSNR,10.7,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.76 mm^-1,without_reference,PSNR,9.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.91 mm^-1,without_reference,PSNR,8.4,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.29 mm^-1,without_reference,PSNR,7.8,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.39 mm^-1,without_reference,PSNR,7.9,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=3.47 mm^-1,without_reference,PSNR,6.2,dB,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.4
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=0.892 mm^-1,without_reference,SSIM,0.88,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.22 mm^-1,without_reference,SSIM,0.82,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.4 mm^-1,without_reference,SSIM,0.67,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.76 mm^-1,without_reference,SSIM,0.63,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=1.91 mm^-1,without_reference,SSIM,0.52,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.29 mm^-1,without_reference,SSIM,0.48,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=2.39 mm^-1,without_reference,SSIM,0.55,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 6,a,"attenuation sweep, no reference pattern",Fig. 3(a) carrier image,attenuation_beta_x1e2=3.47 mm^-1,without_reference,SSIM,0.35,a.u.,manual_digitized_from_rendered_page,results\paper_figures\oe_pages\oe-09.png,Approximate point read from rendered Fig. 6; exact x positions are listed in the paper text.,True,0.02
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,b/d/f,"32nd row profile, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.00892 mm^-1,fixed_reference,PSNR,40.11,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,b/d/f,"32nd row profile, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.014 mm^-1,fixed_reference,PSNR,37.54,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,b/d/f,"32nd row profile, fixed reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.0347 mm^-1,fixed_reference,PSNR,29.47,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,a/c/e,"32nd row profile, no reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.00892 mm^-1,without_reference,PSNR,17.97,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,a/c/e,"32nd row profile, no reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.014 mm^-1,without_reference,PSNR,10.28,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 7,a/c/e,"32nd row profile, no reference pattern",Fig. 3(a) carrier image,attenuation_beta=0.0347 mm^-1,without_reference,PSNR,6.49,dB,exact_caption_from_pdf,results\paper_figures\oe_pages\oe-09.png,,False,
